Data Export - Filters applied:    (none) Data As Of FEB 2024,,,,,,,,,,,,,,,
Factory Name,Factory Type,Product Type Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Postal Code,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Country/Region
"Saigon Daryar Plastic Co.,Ltd",FINISHED GOODS,Equipment,Nike,,SAIGON DARYAR,27C DT743 street,Di An,Bình Duong,590000,SE ASIA,365,341,83,0,Vietnam
IMPULSE FASHION TAE HEE JOINT STOCK COMPANY,FINISHED GOODS,Apparel,Nike,,IMPULSE FASHION COMPANY,Phu Bai Industrial Zone,HUE,Tha Thiên-Hu,49000,SE ASIA,648,555,70,0,Vietnam
"Fjord, Ltd.",FINISHED GOODS,Apparel,Nike,,TEGRA,3099 N Pacific Highway Suite 100,Woodburn,Oregon,97071,AMERICAS,106,94,95,0,USA
"KKN Apparel Co.,ltd",FINISHED GOODS,Apparel,Nike,Collegiate,NICE APPAREL,KKSEZ Neangkok Paklong Commune  Modulsiem Koh Kong  Cambodia,Koh Kong,Kaoh Kong,09401,SE ASIA,6784,5982,62,0,Cambodia
Top Summit Garment Inc,FINISHED GOODS,Apparel,Nike,Collegiate,SABRINA,National Rd No 4,Kandal,Kandaal,315000,SE ASIA,6000,4209,91,0,Cambodia
COOPERSHOES-COOPERATIVA DE TRABALHO E INDUSTRIA DE CALCADOS JOANETENSE LTDA (Morada Nova).,FINISHED GOODS,Footwear,Converse,,COOPERSHOES,Avenida Vereador Paulo Rabelo de Brito 2065,Morada Nova,Ceará,62940-000,AMERICAS,4128,3589,53,0,Brazil
"HESHENG CO., LTD.",FINISHED GOODS,Equipment,Nike,Collegiate,HESHENG,Lot G14 Que Vo Industrial Park expansion,Bac Ninh,Bc Ninh,16852,SE ASIA,74,68,55,3,Vietnam
"Shoetown Lei Zhou Footwear Co., Ltd",FINISHED GOODS - COMPONENTS,Footwear,Nike,,SHOETOWN,Lei Nan street,Zhan Jiang City,Guangdong,524200,N ASIA,300,269,96,0,China
"Hi-Tech Viet Nam Apparel Co.,Ltd.",FINISHED GOODS,Apparel,Nike,Collegiate,HI TECH,"Block A3.2, Tay An Industrial Zone, Duy Trung Commune",Duy Xuyen District,Qung Nam,560000,SE ASIA,1871,1855,84,0,Vietnam
"Longchuan Somona Footwear Co.,Ltd Wuhua Branch",FINISHED GOODS - COMPONENTS,Footwear,Nike,Collegiate,STELLA,Shuizhai Industry Garden,Meizhou,Guangdong,514400,N ASIA,882,828,92,0,China
FORMOSA TING SHO ENT CO LTD (TAIWAN),MATERIALS,Footwear,Nike,,FORMOSA TING SHO,NO 37 SEC 2 ZHONGSHAN RD DACUN,Changhua,Changhua,515,N ASIA,90,28,65,43,Taiwan
"C&W Embroidery, Inc.",FINISHED GOODS,Apparel,Nike,,C&W,386 Hwy 356,Rienzi,Mississippi,38865,AMERICAS,165,125,80,0,USA
SADESA THAILAND Sena,MATERIALS,Footwear,Nike,,SADESA,89 Moo 11 Samkok sena Road,Ayutthaya,Phra Nakhon Si Ayu,13110,SE ASIA,574,401,17,0,Thailand
YSA  MOL,FINISHED GOODS,Apparel,Nike,,YESIM,STR CEBANOV 3a,TARAKLIA,Gagauzia-- Unitate,7402,EMEA,416,319,95,0,Moldova
"Long Fa Shoes Industrial Huizhou Co., Ltd.",FINISHED GOODS,Footwear,Nike,Collegiate,DEAN SHOES,"LONGTING INDUS. PARK, LONGXI TOWN, BOLUO COUNTY",Huizhou,Guangdong,516121,N ASIA,6286,4857,57,0,China
UNI-SPORT,FINISHED GOODS - COMPONENTS,Apparel,Nike,,UNISPORT,16933 GRAMERCY PL,Gardena,California,90247,AMERICAS,21,15,0,0,USA
